TimeStamp,ch1,ch2
340319.5639,16123.73,14937.59
340319.5679,16104.6,14913.13
340319.5719,16041.38,14853.19
340319.5759,15937.09,14756.49
340319.5799,15960.65,14783.77
340319.5839,16119.67,14939.12
340319.5879,16103.56,14916.8
340319.5919,16046.91,14861.06
340319.5959,15946.34,14764.12
340319.5999,15959.36,14785.53
340319.6039,16120.72,14943.65
340319.6079,16099.74,14913.75
340319.6119,16034.84,14849.81
340319.6159,15939.67,14756.87
340319.6199,15959.12,14781.38
340319.6239,16123.73,14941.84
340319.6279,16106.56,14920.33
340319.6319,16038.94,14854.0
340319.6359,15932.85,14754.92
340319.6399,15946.82,14779.04
340319.6439,16119.72,14944.51
340319.6479,16104.32,14917.95
340319.6519,16043.86,14856.86
340319.6559,15946.2,14762.45
340319.6599,15956.98,14777.71
340319.6639,16119.34,14936.12
340319.6679,16100.22,14914.23
340319.6719,16034.08,14851.95
340319.6759,15924.98,14753.68
340319.6799,15936.0,14770.6
340319.6839,16125.39,14939.26
340319.6879,16128.92,14930.06
340319.6919,16053.73,14863.54
340319.6959,15949.68,14763.26
340319.6999,15965.65,14779.71
340319.7039,16134.22,14943.7
340319.7079,16122.39,14921.57
340319.7119,16058.07,14861.63
340319.7159,15952.97,14766.17
340319.7199,15962.41,14783.38
340319.7239,16131.88,14947.08
340319.7279,16113.33,14924.43
340319.7319,16046.14,14858.68
340319.7359,15948.92,14764.74
340319.7399,15966.13,14782.57
340319.7439,16136.98,14944.08
340319.7479,16125.82,14925.29
340319.7519,16060.16,14860.2
340319.7559,15958.07,14765.17
340319.7599,15967.8,14783.96
340319.7639,16132.26,14946.61
340319.7679,16117.0,14928.53
340319.7719,16055.01,14863.45
340319.7759,15951.73,14765.41
340319.7799,15961.7,14782.1
340319.7839,16128.49,14942.5
340319.7879,16119.15,14921.09
340319.7919,16061.5,14864.11
340319.7959,15958.55,14765.84
340319.7999,15969.66,14783.1
340319.8039,16131.12,14945.75
340319.8079,16114.33,14927.68
340319.8119,16049.01,14863.11
340319.8159,15942.24,14761.02
340319.8199,15949.73,14773.04
340319.8239,16118.48,14934.49
340319.8278,16109.52,14915.47
340319.8318,16049.34,14851.95
340319.8358,15947.77,14751.82
340319.8398,15954.78,14764.88
340319.8438,16121.82,14936.16
340319.8478,16105.56,14918.14
340319.8518,16039.9,14848.38
340319.8558,15951.25,14761.07
340319.8598,15956.74,14770.32
340319.8638,16123.34,14931.73
340319.8678,16110.18,14914.18
340319.8718,16042.62,14848.38
340319.8758,15943.39,14754.58
340319.8798,15950.68,14769.46
340319.8838,16124.11,14935.26
340319.8878,16117.81,14920.71
340319.8918,16055.63,14856.34
340319.8958,15955.26,14755.25
340319.8998,15957.64,14761.55
340319.9038,16123.63,14927.53
340319.9078,16115.14,14913.66
340319.9118,16056.06,14856.24
340319.9158,15952.68,14759.11
340319.9198,15953.02,14767.65
340319.9238,16126.21,14937.12
340319.9278,16121.58,14924.48
340319.9318,16056.11,14858.63
340319.9358,15958.07,14765.36
340319.9398,15968.75,14780.9
340319.9438,16132.64,14936.88
340319.9478,16114.05,14916.95
340319.9518,16051.72,14858.44
340319.9558,15962.08,14771.7
340319.9597,15968.09,14781.95
340319.9637,16118.1,14930.77
340319.9677,16103.65,14901.54
340319.9717,16051.1,14848.85
340319.9757,15972.81,14782.14
340319.9797,15976.29,14796.54
340319.9837,16123.3,14939.31
340319.9877,16108.75,14920.0
340319.9917,16053.34,14864.73
340319.9957,15967.66,14777.38
340319.9997,15970.38,14787.63
340320.0037,16124.92,14936.26
340320.0077,16114.57,14920.43
340320.0117,16057.87,14862.11
340320.0157,15966.08,14773.7
340320.0197,15966.94,14780.62
340320.0237,16124.87,14932.11
340320.0277,16111.38,14914.04
340320.0317,16051.29,14860.77
340320.0357,15956.64,14774.37
340320.0397,15959.17,14776.14
340320.0437,16124.2,14935.07
340320.0477,16116.14,14922.43
340320.0517,16050.53,14857.53
340320.0557,15952.4,14762.83
340320.0597,15956.69,14772.7
340320.0637,16121.63,14931.87
340320.0677,16111.09,14917.8
340320.0717,16051.49,14854.19
340320.0757,15957.88,14763.5
340320.0797,15952.78,14770.56
340320.0837,16114.76,14926.63
340320.0877,16108.66,14915.71
340320.0916,16044.62,14852.81
340320.0956,15952.35,14762.69
340320.0996,15952.3,14771.03
340320.1036,16108.32,14928.06
340320.1076,16102.22,14908.46
340320.1116,16050.29,14853.43
340320.1156,15959.79,14767.08
340320.1196,15956.59,14769.51
340320.1236,16109.71,14921.19
340320.1276,16099.07,14905.55
340320.1316,16040.76,14846.42
340320.1356,15952.83,14761.69
340320.1396,15959.6,14768.13
340320.1436,16118.19,14924.05
340320.1476,16106.18,14910.7
340320.1516,16049.67,14853.15
340320.1556,15961.12,14768.75
340320.1596,15953.26,14769.99
340320.1636,16117.34,14927.2
340320.1676,16116.67,14919.71
340320.1716,16054.35,14861.25
340320.1756,15958.98,14772.85
340320.1796,15958.26,14775.85
340320.1836,16122.3,14931.97
340320.1876,16110.66,14915.56
340320.1916,16048.39,14854.81
340320.1956,15962.03,14768.6
340320.1996,15960.41,14772.66
340320.2036,16122.39,14930.3
340320.2076,16116.76,14919.24
340320.2116,16048.72,14849.24
340320.2156,15957.41,14762.36
340320.2196,15962.08,14776.57
340320.2236,16117.62,14934.83
340320.2276,16103.08,14913.32
340320.2316,16044.81,14852.72
340320.2356,15957.41,14768.41
340320.2396,15954.02,14769.51
340320.2436,16115.72,14927.68
340320.2476,16106.27,14915.23
340320.2516,16041.38,14853.0
340320.2556,15954.4,14765.46
340320.2596,15950.68,14767.08
340320.2636,16111.14,14921.14
340320.2676,16104.18,14907.65
340320.2716,16046.67,14846.99
340320.2756,15961.7,14765.69
340320.2796,15952.78,14768.79
340320.2836,16111.52,14926.63
340320.2876,16108.28,14918.33
340320.2916,16044.81,14859.92
340320.2956,15955.07,14771.08
340320.2996,15949.11,14770.46
340320.3036,16110.61,14925.15
340320.3076,16109.13,14909.65
340320.3116,16045.72,14849.09
340320.3156,15952.54,14766.46
340320.3196,15950.73,14769.37
340320.3236,16113.33,14928.44
340320.3276,16113.66,14919.81
340320.3316,16051.72,14857.53
340320.3356,15954.97,14767.65
340320.3396,15952.88,14769.84
340320.3436,16116.67,14935.73
340320.3476,16117.62,14928.15
340320.3516,16059.26,14865.07
340320.3555,15965.85,14777.19
340320.3595,15958.41,14774.61
340320.3635,16122.58,14933.92
340320.3675,16119.86,14927.58
340320.3715,16057.83,14866.5
340320.3755,15965.13,14780.57
340320.3795,15955.12,14777.85
340320.3835,16116.86,14935.35
340320.3875,16117.15,14928.77
340320.3915,16053.34,14869.02
340320.3955,15963.27,14783.05
340320.3995,15956.45,14776.42
340320.4035,16120.58,14927.77
340320.4075,16125.44,14927.01
340320.4115,16058.45,14864.83
340320.4155,15971.38,14779.24
340320.4195,15962.41,14777.57
340320.4235,16119.29,14937.83
340320.4275,16115.86,14926.72
340320.4315,16055.78,14864.49
340320.4355,15969.33,14782.1
340320.4395,15955.64,14776.71
