TimeStamp,ch1,ch2
340682.6801,13887.55,13343.96
340682.6841,13781.45,13218.69
340682.6881,13586.19,13011.93
340682.6921,13258.55,12669.18
340682.6961,13504.55,12937.17
340682.7001,13895.13,13341.19
340682.7041,13793.28,13223.03
340682.7081,13597.01,13011.93
340682.7121,13266.33,12668.13
340682.7161,13505.84,12938.55
340682.7201,13888.84,13341.67
340682.7241,13783.69,13221.07
340682.7281,13590.19,13012.79
340682.7321,13263.08,12666.23
340682.7361,13505.32,12933.92
340682.7401,13891.56,13342.24
340682.7441,13787.18,13224.51
340682.7481,13594.34,13014.84
340682.7521,13264.61,12663.51
340682.7561,13505.17,12933.68
340682.7601,13893.42,13343.38
340682.7641,13789.66,13224.46
340682.7681,13600.4,13018.28
340682.7721,13263.27,12669.23
340682.7761,13496.73,12932.73
340682.7801,13886.93,13339.09
340682.7841,13782.26,13219.74
340682.7881,13589.43,13010.98
340682.7921,13257.03,12663.51
340682.7961,13496.16,12933.11
340682.8001,13886.36,13341.91
340682.8041,13783.03,13222.89
340682.8081,13595.68,13014.51
340682.8121,13264.23,12661.74
340682.8161,13500.17,12926.06
340682.8201,13890.55,13337.04
340682.8241,13782.88,13213.97
340682.8281,13587.52,13005.59
340682.8321,13254.21,12654.35
340682.8361,13493.59,12921.67
340682.8401,13887.84,13337.04
340682.8441,13786.41,13215.4
340682.8481,13593.34,13008.6
340682.8521,13256.36,12656.5
340682.8561,13489.49,12914.85
340682.8601,13886.64,13333.13
340682.8641,13781.6,13216.07
340682.8681,13583.14,13004.59
340682.8721,13249.92,12653.64
340682.8761,13489.25,12918.24
340682.8801,13888.12,13336.28
340682.8841,13784.7,13219.41
340682.8881,13590.05,13013.27
340682.8921,13252.45,12656.83
340682.8961,13488.72,12919.67
340682.9001,13883.88,13336.09
340682.9041,13779.36,13212.44
340682.9081,13585.76,13007.83
340682.9121,13242.91,12650.97
340682.9161,13481.57,12913.66
340682.9201,13887.79,13337.57
340682.9241,13785.7,13216.26
340682.9281,13588.53,13006.35
340682.9321,13249.83,12650.11
340682.9361,13485.62,12910.03
340682.9401,13885.98,13335.42
340682.9441,13782.07,13215.97
340682.9481,13587.09,13004.21
340682.9521,13242.44,12644.2
340682.9561,13475.85,12906.51
340682.9601,13887.22,13337.57
340682.9641,13785.32,13217.26
340682.9681,13588.38,13006.26
340682.9721,13248.02,12648.3
340682.9761,13482.0,12908.65
340682.9801,13887.45,13334.9
340682.9841,13784.46,13216.21
340682.9881,13587.38,13005.45
