TimeStamp,ch1,ch2,ch3,ch4
1237793.6933,-22251.13,-28174.79,-18006.85,-16004.04
1237793.6973,-22238.73,-28170.97,-17994.07,-15994.26
1237793.7013,-22224.72,-28142.31,-17979.62,-15964.22
1237793.7053,-22216.66,-28138.31,-17971.76,-15968.52
1237793.7093,-22212.27,-28136.5,-17962.6,-15970.33
1237793.7133,-22218.18,-28145.6,-17972.9,-15987.92
1237793.7173,-22221.0,-28159.38,-17977.62,-16000.84
1237793.7213,-22205.4,-28135.26,-17965.51,-15984.11
1237793.7253,-22201.59,-28130.34,-17965.61,-15978.53
1237793.7293,-22205.55,-28133.4,-17968.7,-15976.05
1237793.7333,-22207.07,-28129.44,-17971.8,-15967.94
1237793.7373,-22207.74,-28146.84,-17979.53,-15980.1
1237793.7413,-22218.66,-28151.71,-17992.31,-15995.7
1237793.7453,-22224.76,-28152.56,-17995.22,-15992.17
1237793.7493,-22231.63,-28162.1,-17998.89,-16001.42
1237793.7533,-22227.05,-28153.23,-17991.64,-15992.55
1237793.7573,-22229.44,-28168.25,-17997.08,-16003.47
1237793.7613,-22233.82,-28159.67,-17998.89,-16005.04
1237793.7653,-22233.01,-28155.28,-17996.5,-15999.37
1237793.7693,-22230.1,-28153.42,-17988.35,-15997.46
1237793.7733,-22221.38,-28141.5,-17980.2,-15989.5
1237793.7773,-22225.1,-28154.9,-17985.92,-15991.02
1237793.7813,-22227.1,-28149.27,-17988.64,-15992.12
1237793.7853,-22227.67,-28150.56,-17990.21,-15995.12
1237793.7893,-22221.76,-28147.18,-17980.43,-15987.49
1237793.7933,-22222.47,-28144.27,-17980.29,-15985.01
1237793.7973,-22213.03,-28150.61,-17974.14,-15989.97
1237793.8013,-22208.41,-28136.21,-17968.23,-15983.2
1237793.8053,-22209.74,-28137.31,-17970.71,-15984.58
1237793.8093,-22216.37,-28150.66,-17981.1,-15992.55
1237793.8133,-22214.7,-28150.28,-17984.25,-15994.88
1237793.8173,-22204.74,-28151.61,-17975.76,-15996.65
1237793.8213,-22199.49,-28131.77,-17970.75,-15980.34
1237793.8253,-22201.06,-28134.73,-17974.47,-15984.11
1237793.8293,-22197.15,-28132.78,-17965.61,-15982.2
1237793.8333,-22207.17,-28133.44,-17971.9,-15979.29
1237793.8373,-22214.08,-28146.13,-17979.29,-15979.39
1237793.8413,-22217.28,-28142.46,-17980.48,-15989.35
1237793.8453,-22222.57,-28151.8,-17985.73,-16007.85
1237793.8493,-22221.85,-28156.33,-17985.87,-16009.52
1237793.8533,-22204.21,-28131.3,-17971.33,-15981.29
1237793.8573,-22208.26,-28152.56,-17985.58,-15991.07
1237793.8613,-22218.47,-28154.09,-17995.69,-15996.03
1237793.8653,-22220.23,-28151.71,-17997.55,-15995.6
1237793.8693,-22215.94,-28149.66,-17988.06,-15995.98
1237793.8733,-22231.06,-28160.24,-18001.22,-16009.81
1237793.8773,-22233.87,-28174.74,-18005.37,-16017.72
1237793.8813,-22236.87,-28164.53,-18000.7,-16011.29
1237793.8853,-22230.25,-28153.52,-17988.73,-16001.61
1237793.8893,-22243.69,-28165.3,-17991.64,-16003.28
1237793.8933,-22249.99,-28168.25,-17996.27,-16005.33
1237793.8973,-22247.36,-28177.69,-17997.36,-16010.48
1237793.9013,-22245.79,-28167.25,-17998.65,-16005.57
1237793.9053,-22240.98,-28161.91,-17991.35,-16004.18
1237793.9093,-22232.96,-28159.43,-17984.44,-16002.85
1237793.9133,-22225.43,-28150.85,-17980.77,-15997.03
1237793.9173,-22224.38,-28158.14,-17980.91,-15998.13
1237793.9213,-22213.41,-28129.72,-17969.18,-15965.08
1237793.9253,-22197.92,-28113.03,-17953.92,-15948.11
1237793.9293,-22208.5,-28137.97,-17963.6,-15984.39
1237793.9333,-22215.99,-28149.61,-17972.19,-16011.91
1237793.9373,-22212.32,-28156.62,-17971.37,-16013.81
1237793.9413,-22221.47,-28149.89,-17980.63,-16001.66
1237793.9453,-22214.56,-28138.5,-17974.86,-15979.29
1237793.9493,-22223.52,-28153.52,-17984.49,-15988.92
1237793.9533,-22242.6,-28172.83,-18004.28,-16017.63
1237793.9573,-22241.98,-28181.99,-18005.33,-16022.3
1237793.9613,-22249.99,-28178.27,-18013.43,-16021.35
1237793.9653,-22254.9,-28181.17,-18015.72,-16028.36
1237793.9693,-22249.99,-28173.74,-18004.94,-16013.2
1237793.9733,-22248.8,-28162.82,-18001.46,-15999.51
1237793.9773,-22248.27,-28175.93,-18003.66,-16010.72
1237793.9813,-22245.46,-28163.53,-17998.41,-16003.56
1237793.9853,-22242.36,-28155.38,-17992.21,-15988.54
1237793.9893,-22247.03,-28166.58,-17993.31,-15999.27
1237793.9933,-22254.99,-28174.26,-18001.37,-16016.29
1237793.9973,-22250.99,-28185.47,-18000.18,-16023.73
1237794.0013,-22240.12,-28161.48,-17985.06,-16000.23
1237794.0053,-22236.3,-28151.94,-17979.24,-15990.07
1237794.0093,-22238.5,-28161.39,-17982.72,-15994.26
1237794.0133,-22241.31,-28165.53,-17989.49,-16003.18
1237794.0173,-22241.26,-28180.94,-17995.69,-16021.06
1237794.0213,-22241.26,-28172.11,-18000.22,-16016.34
1237794.0253,-22232.96,-28157.91,-17992.36,-15999.94
1237794.0293,-22217.71,-28141.93,-17976.33,-15973.24
1237794.0333,-22212.79,-28135.3,-17976.24,-15965.51
1237794.0373,-22228.58,-28176.26,-18001.94,-16013.0
1237794.0413,-22233.77,-28171.64,-18006.09,-16016.44
1237794.0453,-22229.67,-28160.58,-18000.51,-15998.6
1237794.0493,-22237.26,-28172.31,-18004.37,-16011.53
1237794.0533,-22242.02,-28172.35,-18007.23,-16016.1
1237794.0573,-22242.83,-28181.37,-18006.57,-16020.16
1237794.0613,-22243.22,-28168.49,-18000.7,-16014.53
1237794.0653,-22249.8,-28169.02,-18003.51,-16014.82
1237794.0693,-22255.47,-28172.45,-18001.03,-16011.1
1237794.0733,-22252.56,-28162.82,-17996.5,-16004.61
1237794.0773,-22249.75,-28168.16,-17995.41,-15999.22
1237794.0813,-22243.26,-28157.95,-17989.73,-15991.07
1237794.0853,-22240.21,-28157.19,-17987.06,-15997.03
1237794.0893,-22244.31,-28167.92,-17991.12,-16006.38
1237794.0933,-22239.07,-28161.96,-17990.69,-15999.99
1237794.0973,-22233.25,-28172.21,-17990.88,-16006.76
1237794.1013,-22226.77,-28160.58,-17983.77,-16002.94
1237794.1053,-22217.71,-28148.13,-17974.24,-15990.45
1237794.1093,-22211.98,-28146.94,-17970.04,-15985.06
1237794.1133,-22213.51,-28145.79,-17973.62,-15992.26
1237794.1173,-22216.08,-28157.52,-17979.62,-15996.74
1237794.1213,-22224.43,-28158.05,-17989.45,-16000.23
1237794.1253,-22227.19,-28153.57,-17989.26,-15995.74
1237794.1293,-22225.67,-28152.8,-17985.82,-15990.55
1237794.1333,-22245.12,-28170.49,-18005.18,-16017.15
1237794.1373,-22250.13,-28186.42,-18012.67,-16026.69
1237794.1413,-22245.22,-28173.07,-18011.48,-16011.1
1237794.1453,-22247.6,-28176.02,-18017.72,-16008.95
1237794.1493,-22243.93,-28181.13,-18014.05,-16021.35
1237794.1533,-22242.93,-28174.21,-18010.24,-16019.16
1237794.1573,-22237.88,-28179.12,-18005.37,-16017.92
1237794.1613,-22230.96,-28161.72,-17998.27,-16001.75
